1951	ABALONES	Diving Outfits, Abalone	370.5	816,800	364,596
1951	ANCHOVIES	Encircling Nets (Purse)	3,154.7	6,954,900	143,660
1951	BARRACUDAS	Encircling Nets (Purse)	495.1	1,091,600	190,844
1951	BARRACUDAS	Entangling Nets (Gill) Unspc	209.7	462,400	71,458
1951	BARRACUDAS	Troll & Hand Lines Cmb	250.7	552,700	94,437
1951	BONITO, PACIFIC	Encircling Nets (Purse)	298.7	658,600	63,440
1951	BONITO, PACIFIC	Entangling Nets (Gill) Unspc	2.4	5,400	477
1951	BONITO, PACIFIC	Troll & Hand Lines Cmb	51.2	112,800	10,348
1951	CABEZON	Trawls, Unspecified	5.4	11,800	345
1951	CABEZON	Pots And Traps, Other	0.0	100	4
1951	CABEZON	Entangling Nets (Gill) Unspc	0.3	700	19
1951	CABEZON	Troll & Hand Lines Cmb	5.1	11,300	349
1951	CARP, COMMON	Encircling Nets (Purse)	411.5	907,300	37,208
1951	CARP, COMMON	Fyke And Hoop Nets, Fish	9.0	19,900	3,198
1951	CARP, COMMON	Entangling Nets (Gill) Unspc	2.3	5,100	814
1951	CATFISHES & BULLHEADS	Fyke And Hoop Nets, Fish	108.0	238,100	50,792
1951	CLAMS OR BIVALVES	Shovels	8.3	18,400	19,184
1951	CRAB, ATLANTIC ROCK	Pots And Traps, Other	10.3	22,600	1,803
1951	CRAB, DUNGENESS	Trawls, Unspecified	80.5	177,500	26,333
1951	CRAB, DUNGENESS	Pots And Traps, Other	5,165.3	11,387,400	1,594,541
1951	CRAB, DUNGENESS	Entangling Nets (Gill) Unspc	1.6	3,500	672
1951	CROAKER, PACIFIC WHITE	Encircling Nets (Purse)	226.6	499,600	31,189
1951	CROAKER, PACIFIC WHITE	Trawls, Unspecified	4.4	9,600	617
1951	CROAKER, PACIFIC WHITE	Entangling Nets (Gill) Unspc	34.1	75,200	5,819
1951	CROAKER, PACIFIC WHITE	Troll & Hand Lines Cmb	44.2	97,500	6,607
1951	CROAKER, PACIFIC WHITE	Brail Or Scoop	0.1	300	17
1951	FINFISHES, UNC GENERAL	Encircling Nets (Purse)	0.7	1,500	329
1951	FINFISHES, UNC GENERAL	Trawls, Unspecified	26.1	57,500	2,500
1951	FINFISHES, UNC GENERAL	Fyke And Hoop Nets, Fish	0.3	700	172
1951	FINFISHES, UNC GENERAL	Entangling Nets (Gill) Unspc	2.8	6,200	1,149
1951	FINFISHES, UNC GENERAL	Troll & Hand Lines Cmb	45.2	99,700	12,674
1951	FINFISHES, UNC GENERAL	Brail Or Scoop	0.0	100	12
1951	FLATFISH	Beam Trawls, Other	0.0	100	5
