1975	ABALONES	Diving Outfits, Abalone	194.0	427,800	1,389,821
1975	ANCHOVIES	Encircling Nets (Purse)	149,376.9	329,316,300	11,893,212
1975	ANCHOVIES	Entangling Nets (Gill) Unspc	0.0	100	22
1975	ANCHOVIES	Lines Hand, Other	0.1	200	68
1975	BARRACUDAS	Entangling Nets (Gill) Unspc	24.5	54,100	26,672
1975	BARRACUDAS	Lines Hand, Other	2.0	4,500	1,794
1975	BLACKSMITH	Encircling Nets (Purse)	8.2	18,000	507
1975	BLACKSMITH	Entangling Nets (Gill) Unspc	7.8	17,300	1,725
1975	BONITO, ATLANTIC	Encircling Nets (Purse)	14,415.2	31,779,700	3,883,164
1975	BONITO, ATLANTIC	Entangling Nets (Gill) Unspc	17.5	38,600	4,866
1975	BONITO, ATLANTIC	Lines Hand, Other	25.2	55,500	7,384
1975	CABEZON	Trawls, Unspecified	0.3	600	39
1975	CABEZON	Pots And Traps, Fish	0.1	300	39
1975	CABEZON	Entangling Nets (Gill) Unspc	2.3	5,100	642
1975	CABEZON	Lines Hand, Other	0.5	1,200	112
1975	CARP, COMMON	Pots And Traps, Fish	0.9	2,000	436
1975	CARP, COMMON	Entangling Nets (Gill) Unspc	49.6	109,300	38,165
1975	CARPS AND MINNOWS	Entangling Nets (Gill) Unspc	0.9	2,000	200
1975	CARPS AND MINNOWS	Lines Hand, Other	2.9	6,300	630
1975	CLAM, QUAHOG	By Hand, Other	71.9	158,600	65,507
1975	CLAMS OR BIVALVES	Lines Hand, Other	4.0	8,900	18,109
1975	CLAMS OR BIVALVES	By Hand, Other	0.0	100	27
1975	CRAB, DUNGENESS	Trawls, Unspecified	9.4	20,700	16,050
1975	CRAB, DUNGENESS	Pots And Traps, Crab, Dungens	1,773.3	3,909,400	2,771,824
1975	CRAB, DUNGENESS	Lines Hand, Other	1.9	4,200	3,504
1975	CRAB, DUNGENESS	Dip Nets, Common	0.1	300	170
1975	CRAB, RED ROCK	Trawls, Unspecified	0.7	1,500	262
1975	CRAB, RED ROCK	Pots And Traps, Crab, Dungens	304.7	671,700	140,569
1975	CRAB, RED ROCK	Pots And Traps, Fish	235.2	518,500	121,905
1975	CRAB, RED ROCK	Entangling Nets (Gill) Unspc	3.5	7,700	1,191
1975	CRAB, RED ROCK	Lines Hand, Other	1.0	2,300	586
1975	CRABS 	Trawls, Unspecified	109.8	242,000	33,661
1975	CRABS 	Pots And Traps, Fish	3.6	7,900	23,509
1975	CRAYFISHES OR CRAWFISHES	Pots And Traps, Crayfsh(frhwa)	241.8	533,100	240,034
1975	CRAYFISHES OR CRAWFISHES	Pots And Traps, Fish	0.0	100	202
1975	CROAKER, PACIFIC WHITE	Encircling Nets (Purse)	139.3	307,100	97,662
1975	CROAKER, PACIFIC WHITE	Trawls, Unspecified	9.9	21,900	2,138
1975	CROAKER, PACIFIC WHITE	Pots And Traps, Fish	1.2	2,700	537
1975	CROAKER, PACIFIC WHITE	Entangling Nets (Gill) Unspc	113.3	249,700	43,362
1975	CROAKER, PACIFIC WHITE	Lines Hand, Other	26.6	58,600	12,910
1975	DOLPHINFISH	Lines Hand, Other	1.4	3,000	634
1975	EEL, AMERICAN	Trawls, Unspecified	0.3	600	56
1975	EEL, AMERICAN	Pots And Traps, Fish	0.0	100	13
1975	EEL, AMERICAN	Lines Hand, Other	0.0	100	6
1975	FINFISHES, UNC BAIT AND ANIMAL FOOD	Trawls, Unspecified	2.0	4,500	44
1975	FINFISHES, UNC FOR FOOD	Encircling Nets (Purse)	0.5	1,100	646
1975	FINFISHES, UNC FOR FOOD	Trawls, Unspecified	1.3	2,900	509
1975	FINFISHES, UNC FOR FOOD	Entangling Nets (Gill) Unspc	0.1	300	39
1975	FINFISHES, UNC GENERAL	Trawls, Unspecified	0.5	1,100	2,543
1975	FINFISHES, UNC GENERAL	Entangling Nets (Gill) Unspc	0.0	100	70
1975	FLOUNDER, ARROWTOOTH	Trawls, Unspecified	44.6	98,300	8,220
1975	FLOUNDER, PACIFIC, SANDDAB	Trawls, Unspecified	449.7	991,400	182,938
1975	FLOUNDER, PACIFIC, SANDDAB	Lines Hand, Other	11.0	24,200	5,987
1975	FLYINGFISHES	Entangling Nets (Gill) Unspc	41.4	91,300	23,567
1975	FROGS	Pots And Traps, Fish	1.6	3,600	3,521
1975	GRENADIERS	Trawls, Unspecified	44.8	98,700	4,934
1975	GROUPERS	Lines Hand, Other	1.7	3,700	1,492
1975	HAKE, PACIFIC (WHITING)	Trawls, Unspecified	17.5	38,500	1,992
1975	HALFMOON	Encircling Nets (Purse)	4.1	9,000	1,765
1975	HALFMOON	Entangling Nets (Gill) Unspc	0.2	400	134
1975	HALFMOON	Lines Hand, Other	0.4	800	124
1975	HALIBUT, CALIFORNIA	Trawls, Unspecified	45.7	100,700	71,517
1975	HALIBUT, CALIFORNIA	Pots And Traps, Fish	0.5	1,200	1,001
1975	HALIBUT, CALIFORNIA	Entangling Nets (Gill) Unspc	179.7	396,200	277,889
1975	HALIBUT, CALIFORNIA	Lines Hand, Other	4.9	10,700	7,937
1975	HERRING, PACIFIC, ROE ON KELP	Diving Outfits, Other	4.5	10,000	19,370
1975	HERRING, SEA	Encircling Nets (Purse)	1,078.2	2,376,900	196,384
1975	HERRING, SEA	Trawls, Unspecified	0.0	100	10
1975	HERRING, SEA	Entangling Nets (Gill) Unspc	21.1	46,600	3,953
1975	JACK MACKEREL	Encircling Nets (Purse)	16,676.6	36,765,300	1,692,554
